dataTime,2104066,2113056,2110060,2101057,2108058,2112058,2104063,2109066,2110055,2131013,2103053,2102056,2106056,2115056,2105083,2112056,2115063,2107070,2131011,2114057,2109064,2108063,2111058,2105076,2106063,2111067,2112051,2103068,2103056,2111073,2112059,2332033
2022021114,39,32,51,41,42,52,41,38,55,31,40,51,42,43,59,41,48,40,43,43,34,45,34,48,30,27,33,45,40,26,47,128
2022021115,33,41,43,49,40,51,40,44,44,37,49,61,45,34,62,40,41,37,66,51,44,34,39,40,41,30,39,46,50,33,29,121
2022021116,37,44,59,47,49,47,38,46,48,47,48,63,54,39,58,41,55,37,43,64,44,41,47,52,48,37,33,42,52,38,42,118
2022021117,44,49,54,41,57,44,37,36,51,43,48,46,52,49,45,51,61,34,41,57,43,36,43,49,43,46,40,45,59,38,48,129
