dataTime,total,MB,MK,MS
2022042901,44588,23168.721937905153,7763.474127146595,13655.803934948257
2022042902,6188,3215.395428181508,1077.428408961674,1895.1761628568179
2022042903,75349,39152.68747867622,13119.44944842488,23076.863072898894
2022042904,56842,29536.119413169567,9897.088820652792,17408.79176617764
2022042905,179,93.01160013647221,31.16672353008075,54.821676333447066
2022042906,0,0.0,0.0,0.0
2022042907,195362,101513.58785397475,34015.60582281361,59832.80632321164
2022042908,19599,10183.99078812692,3412.4950528829754,6002.514158990106
2022042909,74241,38576.95087001023,12926.529170931422,22737.519959058343
2022042910,93894,48789.00102354146,16348.426475605596,28756.57250085295
2022042911,257,133.54179460934833,44.74775389514386,78.71045149550778
2022042912,54705,28425.696008188334,9525.003411804842,16754.30058000682
2022042913,7872,4090.4319344933465,1370.639372227908,2410.928693278744
2022042914,60606,31491.961105424765,10552.460593654043,18561.57830092119
2022042915,734,381.39952234732175,127.80097805072216,224.79949960195611
2022042916,18205,9459.643466393722,3169.777664050949,5575.578869555328
2022042917,0,0.0,0.0,0.0
2022042918,0,0.0,0.0,0.0
2022042919,0,0.0,0.0,0.0
2022042920,0,0.0,0.0,0.0
2022042921,0,0.0,0.0,0.0
2022042922,0,0.0,0.0,0.0
2022042923,0,0.0,0.0,0.0
2022042924,0,0.0,0.0,0.0
