dataTime,total,MB,MK,MS
2022042409,67315.0,34978.077447969976,11720.603320823382,20616.319231206635
2022042410,115472.0,60001.315591948136,20105.496645058567,35365.187762993286
2022042411,56856.0,29543.39406345957,9899.526441487547,17413.07949505288
2022042412,56900.0,29566.257250085288,9907.187535539637,17426.555214375072
2022042413,114394.0,59441.16751961787,19917.799840782438,35035.03263959968
2022042414,69858.0,36299.465711361314,12163.379733879223,21395.15455475946
2022042415,30712.0,15958.50426475606,5347.443648356647,9406.052086887295
2022042416,36519.0,18975.925281473897,6358.533947458205,11184.540771067894
2022042417,0.0,0.0,0.0,0.0
2022042418,4608.0,2394.399181166837,802.3254861821904,1411.2753326509726
2022042419,101134.0,52551.034459228926,17609.024678721707,30973.94086204936
2022042420,52085.0,27064.297168201978,9068.820084157851,15951.88274764017
2022042421,242480.0,125996.94302285912,42219.592857955184,74263.46411918571
2022042422,75256.0,39104.36301603549,13103.256681451156,23048.38030251336
2022042423,96955.0,50379.55134766291,16881.394859547367,29694.053792789717
2022042424,463.0,240.58307744797,80.61560332082337,141.80131923120658
2022042501,40165.0,20870.45206414193,6993.360059137951,12301.187876720118
2022042502,113107.0,58772.41931081541,19693.7128397589,34640.86784942568
2022042503,10466.0,5438.320709655408,1822.2956897532129,3205.3836005913786
2022042504,99739.0,51826.167519617884,17366.13317411577,30546.699306266357
2022042505,14749.0,7663.844080518595,2568.0335494143064,4517.122370067099
2022042506,32187.0,16724.9406345957,5604.264414875467,9857.794950528829
2022042507,122085.0,63437.54861821904,21256.924257932453,37390.52712384852
2022042508,48231.0,25061.68986693961,8397.777891504604,14771.532241555782
2022042509,20411.0,10605.920504947115,3553.8770612987596,6251.2024337541225
2022042510,34924.0,18147.134766291365,6080.819288070056,10696.045945638576
2022042511,10584.0,5499.635619242579,1842.8413510747187,3241.523029682702
2022042512,7372.0,3830.622995564655,1283.5814852723759,2257.79551916297
2022042513,41877.0,21760.03787103377,7291.446264073694,12825.515864892526
2022042514,33995.0,17664.40975776186,5919.065734106676,10411.524508131466
2022042515,11769.43,6115.60624019106,2049.243412942113,3604.580346866826
2022042516,94014.0,48851.355168884336,16369.320368474922,28793.324462640736
2022042517,0.0,0.0,0.0,0.0
2022042518,0.0,0.0,0.0,0.0
2022042519,0.0,0.0,0.0,0.0
2022042520,0.0,0.0,0.0,0.0
2022042521,0.0,0.0,0.0,0.0
2022042522,0.0,0.0,0.0,0.0
2022042523,0.0,0.0,0.0,0.0
2022042524,0.0,0.0,0.0,0.0
