dataTime,total,MB,MK,MS
2022031601,33998,17665.96861139543,5919.588081428408,10412.443307176161
2022031602,233657,121412.35448652337,40683.36938473785,71561.27612873877
2022031603,95251,49494.12248379392,16584.70158080291,29172.175935403164
2022031604,2099,1090.6779256226544,365.46900943932667,642.8530649380189
2022031605,52501,27280.45820539065,9141.252246104857,16079.289548504492
2022031606,51037,26519.73763220744,8886.346753099055,15630.915614693506
2022031607,36676,19057.505288297507,6385.870123962241,11232.624587740247
2022031608,163259,84832.29512111908,28425.967132946662,50000.73774593426
2022031609,139015,72234.67929034457,24204.704310246783,42575.61639940861
2022031610,34921,18145.575912657798,6080.296940748322,10695.127146593883
2022031611,55070,28615.356533606282,9588.555669282383,16866.08779711134
2022031612,8911,4630.314909587172,1551.545661321506,2729.1394290913227
2022031613,100439,52189.90003411804,17488.014215853524,30761.085750028433
2022031614,14981,7784.395428181508,2608.428408961674,4588.1761628568165
2022031615,1462,759.6813374274991,254.55726145797794,447.76140111452287
2022031616,28248,14678.165813715454,4918.422381439781,8651.411804844762
2022031617,16547,8598.117024906174,2881.093710906403,5067.789264187421
2022031618,0,0.0,0.0,0.0
2022031619,0,0.0,0.0,0.0
2022031620,0,0.0,0.0,0.0
2022031621,0,0.0,0.0,0.0
2022031622,0,0.0,0.0,0.0
2022031623,0,0.0,0.0,0.0
2022031624,0,0.0,0.0,0.0
