dataTime,UUU,VVV,VEC,WSD,PTY,REH,RN1,T1H,nx,ny
2022042115,0.1,0,296,0.1,0,95,0.5,14,99,75
2022042116,0,0,359,0,0,96,0,14.1,99,75
2022042117,1.1,-0.2,285,1.1,0,98,0,13.6,99,75
2022042118,0.1,-0.8,356,0.9,0,100,0,11.9,99,75
2022042119,0,-0.6,7,0.7,0,100,0,10.7,99,75
2022042120,0,-0.4,7,0.5,0,100,0,10.1,99,75
2022042121,0.3,-0.1,307,0.4,0,100,0,10,99,75
2022042122,0.9,0.5,242,1,0,100,0,9.6,99,75
2022042123,3.2,0.5,260,3.2,0,100,0,11.7,99,75
2022042124,2.1,1,244,2.3,0,87,0,12,99,75
2022042201,2.8,0.9,253,2.9,0,83,0,12.1,99,75
2022042202,3,0,272,3,0,80,0,12.3,99,75
2022042203,3.7,0.3,265,3.7,0,78,0,12.5,99,75
2022042204,1.2,1.1,228,1.6,0,81,0,11.6,99,75
2022042205,2.7,0.5,259,2.7,0,77,0,12.4,99,75
2022042206,3.9,0,271,3.9,0,68,0,13.9,99,75
2022042207,3.2,0.4,262,3.2,0,58,0,16.2,99,75
2022042208,2.7,2.5,228,3.7,0,50,0,18.7,99,75
2022042209,2.6,3.6,216,4.5,0,53,0,19.9,99,75
2022042210,0.4,3.7,186,3.7,0,61,0,19.6,99,75
2022042211,0,3.3,180,3.3,0,58,0,20.1,99,75
