dataTime,UUU,VVV,VEC,WSD,PTY,REH,RN1,T1H,nx,ny
2022042115,1.6,-1.9,321,2.6,1,90,1,12.6,93,75
2022042116,1.3,-2,329,2.5,0,88,0,12.8,93,75
2022042117,1.2,-1.9,329,2.3,0,86,0,13.2,93,75
2022042118,1.3,-0.9,308,1.7,0,91,0,12.4,93,75
2022042119,1.6,-1,304,1.9,0,88,0,12.1,93,75
2022042120,1,-1,318,1.5,0,88,0,11.7,93,75
2022042121,1,0,273,1,0,86,0,11.6,93,75
2022042122,1.1,-0.7,305,1.3,0,94,0,11.1,93,75
2022042123,0.5,-0.2,303,0.6,0,96,0,11.1,93,75
2022042124,1.6,0.2,264,1.6,0,97,0,10.9,93,75
2022042201,2.1,0,270,2.1,0,95,0,10.8,93,75
2022042202,1.7,0,270,1.7,0,95,0,10.5,93,75
2022042203,1.9,-0.6,291,2,0,95,0,10.5,93,75
2022042204,1.2,-0.2,284,1.2,0,95,0,10.2,93,75
2022042205,1.7,-0.2,280,1.7,0,94,0,10.7,93,75
2022042206,1.4,-0.4,289,1.5,0,89,0,12.4,93,75
2022042207,1.8,-0.8,298,2,0,82,0,13.4,93,75
2022042208,1.7,-0.1,278,1.7,0,71,0,15.2,93,75
2022042209,1.6,0.1,268,1.6,0,60,0,17.5,93,75
2022042210,0,0,0,0,0,57,0,19.4,93,75
2022042211,2.6,0.7,255,2.7,0,62,0,18.6,93,75
