dataTime,UUU,VVV,VEC,WSD,PTY,REH,RN1,T1H,nx,ny
2022042115,2.9,-1.7,302,3.4,0,93,1,12.9,94,73
2022042116,2.3,-0.9,294,2.5,0,93,0,12.5,94,73
2022042117,2.1,-1.1,300,2.4,0,93,0,12.6,94,73
2022042118,2.2,-1.2,300,2.5,0,91,0,11.8,94,73
2022042119,2.8,-2.4,312,3.7,0,91,0,11.5,94,73
2022042120,3.4,-2.2,303,4.1,0,90,0,11.8,94,73
2022042121,2.3,-1.3,301,2.7,0,91,0,11.5,94,73
2022042122,2.4,-1,295,2.6,0,92,0,11.2,94,73
2022042123,3.6,-2.3,304,4.3,0,92,0,11.3,94,73
2022042124,4.5,-3,305,5.5,0,92,0,11.3,94,73
2022042201,4.7,-2.7,301,5.5,0,92,0,11.4,94,73
2022042202,4.1,-1.7,293,4.5,0,92,0,11.3,94,73
2022042203,3.8,-1.4,291,4.1,0,91,0,11.2,94,73
2022042204,3.3,-1.2,292,3.5,0,92,0,11,94,73
2022042205,2.3,-1.1,299,2.6,0,92,0,10.9,94,73
2022042206,3.4,-1.9,301,3.9,0,90,0,11.9,94,73
2022042207,3,-1.1,292,3.2,0,82,0,13.3,94,73
2022042208,1.5,-0.1,277,1.5,0,63,0,16.2,94,73
2022042209,1.3,0.4,254,1.4,0,58,0,16.6,94,73
2022042210,-1.4,1.9,142,2.4,0,70,0,17.3,94,73
2022042211,-0.3,2.2,170,2.2,0,69,0,17.5,94,73
