dataTime,UUU,VVV,VEC,WSD,PTY,REH,RN1,T1H,nx,ny
2022042115,0,-0.2,13,0.3,1,90,0.5,14,99,77
2022042116,0,-0.1,355,0.2,0,90,0.5,13.1,99,77
2022042117,0.8,0,274,0.8,0,83,0,13.5,99,77
2022042118,0.1,-0.1,329,0.2,0,90,0,12.1,99,77
2022042119,0.7,-0.2,294,0.8,0,89,0,12.3,99,77
2022042120,-0.5,-0.5,46,0.8,0,91,0,11.5,99,77
2022042121,0.4,-0.4,320,0.7,0,91,0,11.8,99,77
2022042122,0.1,-0.1,330,0.2,0,93,0,11.1,99,77
2022042123,0.4,0.4,227,0.6,0,91,0,11,99,77
2022042124,0.4,-0.4,321,0.7,0,89,0,11.1,99,77
2022042201,0.7,-0.8,321,1.2,0,78,0,12,99,77
2022042202,1,-0.7,310,1.3,0,78,0,12.1,99,77
2022042203,1.7,0.6,249,1.8,0,78,0,12,99,77
2022042204,0.6,0.8,218,1,0,85,0,11.1,99,77
2022042205,1.4,-0.3,285,1.4,0,79,0,11.8,99,77
2022042206,1.1,-0.5,300,1.3,0,74,0,12.8,99,77
2022042207,0.7,-0.4,304,0.9,0,65,0,14.9,99,77
2022042208,0.6,0.8,215,1,0,51,0,17.6,99,77
2022042209,0.4,2.9,187,2.9,0,46,0,19.3,99,77
2022042210,1,3.1,198,3.3,0,39,0,21,99,77
2022042211,1,3.3,197,3.4,0,38,0,20.4,99,77
