dataTime,UUU,VVV,VEC,WSD,PTY,REH,RN1,T1H,nx,ny
2022042115,-0.2,0,72,0.3,0,90,1,13.3,95,80
2022042116,0,-0.1,39,0.2,0,88,0,13.7,95,80
2022042117,0,0.2,193,0.2,0,80,0,12.3,95,80
2022042118,0,-0.2,26,0.3,0,91,0,11.2,95,80
2022042119,0,0,360,0.1,0,94,0,10.7,95,80
2022042120,0,0,334,0.1,0,95,0,10.9,95,80
2022042121,0,0.1,209,0.1,0,95,0,11,95,80
2022042122,0.2,0,286,0.2,0,96,0,10.4,95,80
2022042123,0.3,0,289,0.3,0,96,0,10.2,95,80
2022042124,0,-0.1,33,0.2,0,96,0,10.1,95,80
2022042201,0,0,343,0.1,0,96,0,10,95,80
2022042202,-0.5,0.1,99,0.6,0,96,0,9.5,95,80
2022042203,0.4,0.3,226,0.5,0,97,0,9.3,95,80
2022042204,-0.6,0.6,130,0.9,0,97,0,8.8,95,80
2022042205,-0.7,0,93,0.8,0,97,0,8.4,95,80
2022042206,-0.8,0.2,103,0.9,0,97,0,8.3,95,80
2022042207,0,-0.3,10,0.4,0,97,0,11.1,95,80
2022042208,0,-0.8,358,0.9,0,97,0,16,95,80
2022042209,2.1,-2,315,2.9,0,72,0,19.5,95,80
2022042210,1.4,-1.6,319,2.2,0,55,0,22.1,95,80
2022042211,-1.7,-1.6,47,2.5,0,51,0,21.2,95,80
