dataTime,UUU,VVV,VEC,WSD,PTY,REH,RN1,T1H,nx,ny
2022042115,-0.1,-0.2,34,0.4,1,78,1,14.5,96,77
2022042116,-0.7,-0.6,49,1.1,0,84,0.5,14,96,77
2022042117,-0.5,0.5,131,0.8,0,84,0,14.1,96,77
2022042118,0.2,-0.3,330,0.5,0,89,0,12.7,96,77
2022042119,0.6,-0.8,327,1.1,0,93,0,11.6,96,77
2022042120,0.4,-0.6,331,0.8,0,93,0,10.7,96,77
2022042121,0.1,-0.9,352,1,0,93,0,10.2,96,77
2022042122,0.1,0,313,0.2,0,93,0,9.3,96,77
2022042123,0,0,346,0.1,0,94,0,8.9,96,77
2022042124,0.1,-0.1,325,0.2,0,95,0,8.3,96,77
2022042201,0.3,0,267,0.3,0,95,0,8.2,96,77
2022042202,-0.2,-0.3,31,0.5,0,95,0,7.7,96,77
2022042203,0.4,0.3,236,0.5,0,96,0,8.4,96,77
2022042204,0.5,0.1,255,0.5,0,97,0,9.6,96,77
2022042205,-0.1,-0.2,32,0.3,0,97,0,9.6,96,77
2022042206,0,-0.3,20,0.4,0,97,0,9.8,96,77
2022042207,0.1,-0.2,338,0.3,0,97,0,10.6,96,77
2022042208,0.2,1.7,188,1.7,0,94,0,13.3,96,77
2022042209,-0.6,2.6,164,2.7,0,59,0,18.5,96,77
2022042210,0.7,4.5,188,4.5,0,55,0,19.8,96,77
2022042211,-0.2,5.7,177,5.7,0,60,0,19.8,96,77
