dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022061411,0.0,0.3,0.033,0.003,22.0,8.0
2022061412,0.002,0.3,0.036000000000000004,0.003,16.0,11.0
2022061413,0.003,0.3,0.044000000000000004,0.003,21.0,15.0
2022061414,0.002,0.3,0.05,0.004,22.0,16.0
2022061415,0.002,0.3,0.054000000000000006,0.004,27.0,11.0
2022061416,0.002,0.3,0.055999999999999994,0.004,28.0,12.0
2022061417,0.002,0.3,0.053,0.006999999999999999,28.0,17.0
2022061418,0.002,0.3,0.045,0.006,17.0,8.0
2022061419,0.002,0.3,0.04,0.008,15.0,15.0
2022061420,0.002,0.3,0.044000000000000004,0.005,18.0,9.0
2022061421,0.002,0.3,0.028999999999999998,0.018000000000000002,13.0,11.0
2022061422,0.002,0.3,0.033,0.009000000000000001,12.0,12.0
2022061423,0.003,0.3,0.036000000000000004,0.004,11.0,9.0
2022061424,0.002,0.4,0.034,0.004,9.0,
2022061501,0.003,0.4,0.032,0.004,5.0,
2022061502,0.002,0.3,0.027000000000000003,0.003,3.0,
2022061503,0.002,0.3,0.027000000000000003,0.002,2.0,
2022061504,0.003,0.3,0.027999999999999997,0.002,2.0,
2022061505,0.002,0.3,0.026000000000000002,0.002,2.0,
2022061506,0.002,0.3,0.027000000000000003,0.002,5.0,
2022061507,0.002,0.3,0.027999999999999997,0.002,7.0,
2022061508,0.002,0.3,0.027999999999999997,0.002,4.0,
2022061509,0.002,0.3,0.027999999999999997,0.003,2.0,
2022061510,0.002,0.3,0.028999999999999998,0.002,2.0,
2022061511,0.003,0.3,0.03,0.002,4.0,
2022061512,0.003,0.3,0.03,0.002,2.0,
2022061513,0.002,0.3,0.03,0.003,4.0,
2022061514,0.002,0.3,0.028999999999999998,0.003,3.0,
2022061515,0.002,0.3,0.03,0.002,2.0,
2022061516,0.003,0.3,0.031,0.002,1.0,
2022061517,0.002,0.3,0.033,0.002,2.0,
2022061518,0.002,0.3,0.036000000000000004,0.003,9.0,
2022061519,0.003,0.4,0.04,0.003,15.0,12.0
2022061520,0.003,0.4,0.042,0.003,18.0,16.0
2022061521,0.003,0.3,0.04,0.003,8.0,
2022061522,0.002,0.3,0.038,0.003,9.0,9.0
2022061523,0.002,0.3,0.037000000000000005,0.002,6.0,
2022061524,0.002,0.3,0.037000000000000005,0.002,5.0,
2022061601,0.002,0.3,0.036000000000000004,0.002,3.0,
2022061602,0.002,0.3,0.036000000000000004,0.002,4.0,
2022061603,0.002,0.3,0.034,0.002,6.0,
2022061604,0.002,0.3,0.033,0.002,7.0,
2022061605,0.002,0.3,0.032,0.002,4.0,
2022061606,0.002,0.3,0.031,0.002,3.0,
2022061607,0.002,0.3,0.031,0.002,4.0,
2022061608,0.002,0.3,0.032,0.002,10.0,10.0
2022061609,0.002,0.3,0.032,0.003,14.0,9.0
2022061610,0.003,0.3,0.038,0.003,14.0,9.0
2022061611,0.003,0.3,0.038,0.003,9.0,9.0
2022061612,0.003,0.3,0.036000000000000004,0.003,11.0,11.0
2022061613,0.003,0.3,0.037000000000000005,0.003,8.0,
2022061614,0.003,0.3,0.038,0.003,9.0,9.0
2022061615,0.003,0.3,0.04,0.003,6.0,
2022061616,,,,,6.0,
2022061617,,,,,6.0,
2022061618,,,,,8.0,8.0
2022061619,,,,,10.0,
2022061620,,,,,12.0,8.0
2022061621,,,,,13.0,6.0
2022061622,0.002,0.3,0.032,0.006,11.0,6.0
2022061623,0.001,0.3,0.026000000000000002,0.011000000000000001,9.0,6.0
2022061624,0.002,0.3,0.023,0.016,11.0,8.0
2022061701,0.002,0.3,0.025,0.013000000000000001,8.0,6.0
2022061702,0.001,0.3,0.03,0.008,4.0,
2022061703,0.002,0.3,0.031,0.003,3.0,
2022061704,0.001,0.3,0.03,0.003,4.0,
2022061705,0.001,0.3,0.028999999999999998,0.003,6.0,5.0
2022061706,0.001,0.3,0.027999999999999997,0.005,7.0,6.0
2022061707,0.001,0.3,0.033,0.004,7.0,7.0
2022061708,0.001,0.3,0.031,0.005,5.0,5.0
2022061709,0.001,0.3,0.032,0.005,6.0,2.0
2022061710,0.001,0.3,0.034,0.005,6.0,5.0
2022061711,0.001,0.4,0.038,0.004,28.0,19.0
2022061712,0.001,0.4,0.045,0.004,35.0,21.0
2022061713,0.001,0.4,0.053,0.004,34.0,29.0
2022061714,0.001,0.4,0.052000000000000005,0.004,22.0,21.0
2022061715,0.001,0.4,0.045,0.004,17.0,14.0
2022061716,0.001,0.4,0.043,0.005,20.0,16.0
2022061717,0.001,0.4,0.035,0.006999999999999999,20.0,14.0
2022061718,0.001,0.4,0.032,0.008,9.0,9.0
2022061719,0.001,0.3,0.035,0.004,7.0,
2022061720,0.001,0.4,0.034,0.005,3.0,
2022061721,0.001,0.4,0.03,0.012,2.0,
2022061722,0.001,0.3,0.034,0.009000000000000001,2.0,1.0
2022061723,0.001,0.3,0.038,0.003,2.0,2.0
2022061724,0.001,0.3,0.037000000000000005,0.003,,2.0
2022061801,0.001,0.4,0.038,0.003,,0.0
2022061802,0.001,0.4,0.038,0.004,1.0,
2022061803,0.001,0.3,0.039,0.003,6.0,6.0
2022061804,0.001,0.3,0.037000000000000005,0.003,4.0,4.0
