dataTime,total,MB_t,MK_t,MS_t,MB_c,MK_c,MS_c
2016010916.0,436462.0,20177.0,96.0,54012.0,3.0,1.0,2.0
2016010917.0,178028.0,14631.0,41707.0,0.0,6.0,4.0,0.0
2016010918.0,282345.0,13112.0,86502.0,107005.0,8.0,2.0,6.0
2016010919.0,583066.0,153104.0,2930.0,52690.0,2.0,1.0,3.0
2016010920.0,316138.0,10760.0,166086.0,238.0,3.0,3.0,2.0
2016010921.0,102433.0,16575.0,498.0,55173.0,1.0,1.0,5.0
2016010922.0,87186.0,6268.0,0.0,68.0,2.0,0.0,1.0
2016010923.0,232097.0,9252.0,0.0,215299.0,4.0,0.0,7.0
2016010924.0,130256.0,62806.0,0.0,46422.0,6.0,0.0,1.0
2016011001.0,245502.0,179290.0,0.0,0.0,3.0,0.0,0.0
2016011002.0,166179.0,0.0,0.0,4064.0,0.0,0.0,2.0
2016011003.0,1354.0,287.0,0.0,1067.0,1.0,0.0,2.0
2016011004.0,18531.0,6200.0,0.0,4374.0,1.0,0.0,3.0
2016011005.0,115979.0,115409.0,0.0,0.0,2.0,0.0,0.0
2016011006.0,163069.0,0.0,25126.0,31418.0,0.0,2.0,4.0
2016011007.0,351857.0,69570.0,5659.0,92198.0,4.0,1.0,1.0
2016011008.0,412357.0,45770.0,0.0,224426.0,4.0,0.0,2.0
2016011009.0,285011.0,18526.0,0.0,94558.0,9.0,0.0,2.0
2016011010.0,198005.0,59240.0,5585.0,7406.0,5.0,1.0,1.0
2016011011.0,480890.0,4313.0,178.0,242.0,3.0,1.0,2.0
2016011012.0,192322.0,24809.0,3994.0,30234.0,2.0,1.0,3.0
2016011013.0,26159.0,17631.0,0.0,5914.0,5.0,0.0,1.0
2016011014.0,94717.0,12048.0,7170.0,0.0,4.0,1.0,0.0
2016011015.0,253235.0,123230.0,0.0,66477.0,6.0,0.0,3.0
2016011016.0,189820.0,94770.0,11576.0,43013.0,4.0,3.0,1.0
2016011017.0,253631.0,0.0,0.0,148790.0,0.0,0.0,6.0
2016011018.0,584829.0,143456.0,0.0,243875.0,10.0,0.0,4.0
2016011019.0,292333.0,42168.0,18358.0,0.0,3.0,1.0,0.0
2016011020.0,307536.0,17498.0,1503.0,98956.0,5.0,2.0,2.0
2016011021.0,22777.0,8257.0,0.0,268.0,3.0,0.0,1.0
2016011022.0,101125.0,11581.0,0.0,0.0,3.0,0.0,0.0
2016011023.0,131493.0,662.0,0.0,4803.0,2.0,0.0,1.0
2016011024.0,499705.0,231769.0,0.0,98956.0,3.0,0.0,2.0
2016011101.0,188646.0,266.0,3992.0,55605.0,1.0,1.0,5.0
2016011102.0,158584.0,0.0,0.0,130000.0,0.0,0.0,2.0
2016011103.0,300250.0,287.0,0.0,4178.0,1.0,0.0,3.0
2016011104.0,74276.0,5659.0,48.0,57092.0,1.0,1.0,2.0
2016011105.0,167123.0,51.0,0.0,68.0,1.0,0.0,1.0
2016011106.0,136036.0,67707.0,0.0,99.0,3.0,0.0,1.0
2016011107.0,52866.0,17280.0,997.0,0.0,1.0,1.0,0.0
2016011108.0,439218.0,87755.0,1086.0,160705.0,6.0,2.0,3.0
2016011109.0,382747.0,57798.0,668.0,29647.0,2.0,1.0,2.0
2016011110.0,113989.0,39041.0,0.0,50686.0,6.0,0.0,1.0
2016011111.0,239420.0,142867.0,70.0,37860.0,7.0,1.0,3.0
2016011112.0,181873.0,89434.0,4034.0,3992.0,5.0,2.0,1.0
2016011113.0,123593.0,6649.0,40.0,0.0,3.0,1.0,0.0
2016011114.0,252920.0,8977.0,7318.0,200595.0,3.0,2.0,4.0
2016011115.0,453505.0,51072.0,12563.0,736.0,6.0,1.0,1.0
2016011116.0,321808.0,2303.0,72771.0,1863.0,4.0,2.0,1.0
2016011117.0,164286.0,65879.0,7222.0,772.0,4.0,3.0,3.0
2016011118.0,442977.0,28879.0,7170.0,146945.0,10.0,1.0,3.0
2016011119.0,88071.0,15739.0,22608.0,0.0,5.0,2.0,0.0
2016011120.0,386276.0,2677.0,6672.0,11191.0,4.0,4.0,2.0
2016011121.0,152505.0,69081.0,162.0,0.0,4.0,1.0,0.0
2016011122.0,89872.0,9650.0,169.0,57623.0,2.0,1.0,1.0
2016011123.0,416181.0,59356.0,0.0,107551.0,3.0,0.0,1.0
2016011124.0,179890.0,7747.0,0.0,89132.0,2.0,0.0,4.0
2016011201.0,140126.0,1952.0,0.0,92705.0,1.0,0.0,6.0
2016011202.0,125562.0,141.0,0.0,124037.0,1.0,0.0,4.0
2016011203.0,139069.0,4109.0,0.0,67481.0,2.0,0.0,3.0
2016011204.0,357962.0,0.0,89174.0,28946.0,0.0,1.0,3.0
2016011205.0,328131.0,30780.0,0.0,89800.0,3.0,0.0,2.0
2016011206.0,198994.0,45780.0,0.0,29004.0,3.0,0.0,2.0
2016011207.0,63688.0,4841.0,20869.0,18321.0,3.0,2.0,1.0
2016011208.0,516296.0,95006.0,10853.0,77716.0,6.0,2.0,3.0
2016011209.0,593370.0,62389.0,11133.0,318.0,7.0,4.0,2.0
2016011210.0,381231.98,23316.0,317.0,3994.0,5.0,2.0,1.0
2016011211.0,429850.0,20376.0,0.0,0.0,2.0,0.0,0.0
2016011212.0,234947.0,44437.0,6291.0,0.0,3.0,2.0,0.0
2016011213.0,377784.0,39109.0,3959.0,31844.0,9.0,3.0,3.0
2016011214.0,480938.0,24234.0,7445.0,9827.0,5.0,3.0,2.0
2016011215.0,362218.51,88497.51,8081.0,55482.0,10.0,4.0,3.0
2016011216.0,252066.0,19431.0,7546.0,51666.0,3.0,2.0,2.0
2016011217.0,317119.0,88207.0,77376.0,67380.0,2.0,3.0,2.0
