aprtfEtryptDt,total,MB,MK,MS
2022072511,8487,4409.996929375639,1477.720573183214,2599.282497441146
2022072514,6715,3489.234049812351,1169.1874218128055,2056.5785283748437
2022072510,968,502.9901057659502,168.54406914591152,296.4658250881383
2022072503,7170,3725.6601842374616,1248.4100989423405,2195.929716820198
2022072509,91649,47622.45888775162,15957.536563175252,28069.004549073125
2022072502,107849,56040.268509041285,18778.212100534514,33030.5193904242
2022072514,4249,2207.8563630160356,739.8179233481178,1301.3257136358466
2022072512,28693,14909.395769361992,4995.903900830205,8787.700329807802
2022072511,1972,1024.6864551347662,343.3563061526214,603.9572387126123
2022072515,9528,4950.919140225179,1658.9750938246332,2918.1057659501876
2022072516,498,258.7697031729785,86.70965540771067,152.5206414193108
2022072515,19035,9890.926305015353,3314.293756397134,5829.779938587512
2022072502,19035,9890.926305015353,3314.293756397134,5829.779938587512
2022072514,146409,76076.73387922211,25492.116342545207,44840.149778232684
2022072502,109824,57066.513817809624,19122.09075400887,33635.39542818151
2022072516,9865,5126.030365063119,1717.6521096326624,3021.317525304219
2022072507,5435,2824.123166154896,946.3192312066416,1664.5576026384624
2022072509,6558,3407.654042988741,1141.8512453087683,2008.4947117024906
2022072507,52467,27262.7911975435,9135.33230979188,16068.876492664618
2022072508,9963,5176.952917093142,1734.7154554759468,3051.331627430911
2022072512,33114,17206.6264073695,5765.669737291027,10141.703855339474
2022072516,59307,30816.977482088023,10326.284203343568,18163.738314568407
2022072508,62271,32357.124872057317,10842.363357215967,19071.511770726713
2022072511,128929,66993.81337427499,22448.572614579778,39486.614011145226
2022072506,1574,817.8785397475265,274.05822813601725,482.0632321164562
2022072507,1668,866.7226202661208,290.42511088365745,510.8522688502217
2022072506,7170,3725.6601842374616,1248.4100989423405,2195.929716820198
2022072512,7223,3753.199931763903,1257.638234959627,2212.1618332764697
2022072515,39906,20735.871033776868,6948.264073694984,12221.864892528147
2022072507,497,258.2500852951211,86.53553963379962,152.21437507107925
2022072507,5770,2998.1951552371206,1004.6480154668486,1767.1568292960308
2022072505,7091,3684.610371886728,1234.6549528033663,2171.7346753099055
2022072507,1481,769.5540771067895,257.86546116228817,453.5804617309223
2022072509,731,379.84066871374955,127.27863072898896,223.88070055726143
2022072510,698,362.6932787444558,121.5328101899238,213.77391106562035
2022072508,4814,2501.440464005459,838.1933356078698,1474.3662003866712
2022072515,27094,14078.526782668032,4717.492778346412,8297.980438985556
2022072515,1686,876.0757420675537,293.55919481405664,516.3650631183896
2022072507,38062,19777.695667007847,6627.194586602979,11657.109746389173
2022072510,12545,6518.6062777209145,2184.2823837143183,3842.1113385647673
2022072503,1565,813.20197884681,272.4911861708177,479.3068349823723
2022072512,291,151.20880245649948,50.66769020812009,89.12350733538041
2022072508,9923,5156.168201978847,1727.750824519504,3039.0809735016487
2022072514,323,167.83657454793587,56.239394973274194,98.92403047878994
2022072508,999,519.0982599795292,173.94165813715455,305.96008188331626
2022072516,149,77.4230638007506,25.943250312748777,45.63368588650062
2022072507,4416,2294.632548618219,768.8952575912657,1352.4721937905151
2022072516,1318,684.8563630160355,229.4845900147845,403.65904696918
2022072511,999,519.0982599795292,173.94165813715455,305.96008188331626
2022072506,411,213.56294779938588,71.56158307744796,125.87546912316614
2022072501,0,0.0,0.0,0.0
2022072502,0,0.0,0.0,0.0
2022072503,0,0.0,0.0,0.0
2022072504,0,0.0,0.0,0.0
2022072505,0,0.0,0.0,0.0
2022072506,0,0.0,0.0,0.0
2022072507,0,0.0,0.0,0.0
2022072508,0,0.0,0.0,0.0
