dataTime,total,MB,MK,MS
2022072501,285.0,148.09109518935517,49.6229955646537,87.28590924599112
2022072502,236908.0,123101.63220743775,41249.41976572274,72556.94802683953
2022072503,8807.0,4576.274650290004,1533.4376208347549,2697.2877288752416
2022072504,72.0,37.41248720573184,12.536335721596725,22.051177072671447
2022072505,26192.0,13609.831456840668,4560.440350278631,8021.728192880701
2022072506,9201.0,4781.0040941658135,1602.0392357557148,2817.9566700784712
2022072507,123495.0,64170.209825997954,21502.42749914705,37822.362674855
2022072508,148828.0,77333.68952575914,25913.30239963607,45581.008074604804
2022072509,99096.0,51492.05322415557,17254.17673149096,30349.77004435346
2022072510,16012.0,8320.121460252474,2787.9417718639834,4903.936767883543
2022072511,152147.0,79058.3012623678,26491.192653246893,46597.5060843853
2022072512,69588.0,36159.16888433981,12116.368474923232,21312.462640736954
2022072513,126.0,65.47185261003071,21.93858751279427,38.58955987717502
2022072514,157835.0,82013.88775162061,27481.563175253046,48339.54907312634
2022072515,103290.0,53671.33060388946,17984.41828727397,31634.251108836568
2022072516,71294.0,37045.63698396451,12413.409985215512,21834.95303081997
2022072517,149.69,77.78160013647219,26.06339019674741,45.845009666780385
2022072518,0.0,0.0,0.0,0.0
2022072519,0.0,0.0,0.0,0.0
2022072520,0.0,0.0,0.0,0.0
2022072521,0.0,0.0,0.0,0.0
2022072522,0.0,0.0,0.0,0.0
2022072523,0.0,0.0,0.0,0.0
2022072524,0.0,0.0,0.0,0.0
