dataTime,total,MB,MK,MS
2022032501,1037.0,538.8437393381098,180.558057545775,317.5982031161151
2022032502,9078.0,4717.091095189356,1580.6229955646536,2780.2859092459908
2022032503,575.0,298.7802797679973,100.11656999886272,176.10315023313998
2022032504,94.0,48.84408051859434,16.366882747640172,28.78903673376549
2022032505,139416.0,72443.0460593654,24274.524735585124,42698.42920504947
2022032506,91085.0,47329.39440464005,15859.335266689413,27896.270328670536
2022032507,55313.0,28741.623677925625,9630.865802342774,16940.510519731604
2022032508,102533.0,53277.979870351424,17852.612646423288,31402.407483225295
2022032509,21961.0,11411.328215626067,3823.7565108609124,6725.915273513021
2022032510,213688.0,111036.10508358924,37206.45149550779,65445.443420902986
2022032511,14793.0,7686.70726714432,2575.6946434663932,4530.5980893892865
2022032512,238053.0,123696.59467758442,41448.78232685091,72907.62299556467
2022032513,156315.0,81224.06857727737,27216.907198908226,47874.0242238144
2022032514,215948.03,112210.45707608326,37599.958368020016,66137.61455589674
2022032515,635.0,329.9573524394404,110.56351643352667,194.47913112703287
2022032516,36697.0,19068.417263732514,6389.526555214374,11239.056181053109
2022032517,0.0,0.0,0.0,0.0
2022032518,0.0,0.0,0.0,0.0
2022032519,0.0,0.0,0.0,0.0
2022032520,0.0,0.0,0.0,0.0
2022032521,0.0,0.0,0.0,0.0
2022032522,0.0,0.0,0.0,0.0
2022032523,0.0,0.0,0.0,0.0
2022032524,0.0,0.0,0.0,0.0
