dataTime,total,MB,MK,MS
2022032101,323.0,167.83657454793587,56.23939497327418,98.92403047878992
2022032102,5608.0,2914.017059024224,976.4412600932561,1717.5416808825198
2022032103,235713.0,122480.68884339815,41041.351415899015,72190.95974070282
2022032104,47349.0,24603.3868986694,8244.207778915046,14501.40532241556
2022032105,55780.0,28984.28522688502,9712.177868759241,17083.536904355733
2022032106,56792.0,29510.138519276694,9888.383031957237,17393.478448766058
2022032107,22993.0,11947.57386557489,4003.443989537132,7041.982144887978
2022032108,180994.0,94047.71818491982,31513.910383259416,55432.37143182077
2022032109,103974.0,54026.749232343915,18103.51347662913,31843.737291026962
2022032110,26649.0,13847.296827021497,4640.011258955987,8161.691914022518
2022032111,14704.0,7640.461276015012,2560.198339588309,4503.340384396679
2022032112,99353.0,51625.595018764914,17298.924485386102,30428.48049584897
2022032113,41798.0,21718.988058683044,7277.691117934723,12801.320823382237
2022032114,67730.0,35193.71886728079,11792.861366996474,20743.41976572273
2022032115,17709.0,9201.91299897646,3083.4162401910608,5423.67076083248
2022032116,48871.0,25394.245308768346,8509.211986807686,14967.54270442397
2022032117,8316.0,4321.142272262027,1447.9467758444214,2546.910951893551
2022032118,22211.0,11541.232685090416,3867.2854543386784,6802.481860570911
2022032119,104994.0,54556.759467758435,18281.11156601842,32156.12896622313
2022032120,41119.0,21366.16751961788,7159.466507449108,12593.365972933016
2022032121,98574.0,51220.812691914034,17163.288297509374,30189.899010576595
2022032122,133788.0,69518.63664278404,23294.60116001364,40974.76219720232
2022032123,98154.0,51002.57318321391,17090.159672466736,30061.267144319347
2022032124,8970.0,4660.9723643807565,1561.8184919822586,2747.2091436369838
2022032201,170415.98,88551.18988058684,29672.11024451268,52192.67987490048
2022032202,33916.0,17623.359945411117,5905.310587967701,10387.329466621175
2022032203,155388.0,80742.38280450358,27055.50187649266,47590.11531900374
2022032204,36564.0,18999.308085977482,6366.369157284203,11198.322756738315
2022032205,996.0,517.539406345957,173.41931081542134,305.0412828386216
2022032206,10803.0,5613.431934493347,1880.9727055612423,3308.5953599454106
2022032207,49211.0,25570.915387239853,8568.41134993745,15071.673262822698
2022032208,28210.0,14658.420334356875,4911.805982031162,8639.773683611964
2022032209,123641.0,64246.074036165126,21527.848402138072,37867.0775616968
2022032210,47988.0,24935.422722620267,8355.467758444216,14697.109518935515
2022032211,116164.0,60360.89116342544,20225.984760605028,35577.124075969514
2022032212,82891.0,43071.64551347663,14432.630615262142,25386.72387126123
2022032213,2882.0,1497.538723984988,501.8016604116912,882.6596156033207
2022032214,140092.0,72794.307744797,24392.226998749007,42905.465256454
2022032215,38213.0,19856.157966564315,6653.48606846355,11703.355964972136
2022032216,87131.0,45274.82531559193,15170.88149664506,26685.29318776299
2022032217,2817.0,1463.763561924258,490.48413510747184,862.7523029682701
2022032218,58545.0,30421.0286591607,10193.607983623337,17930.363357215967
2022032219,27012.0,14035.918116683722,4703.215284885705,8272.866598430568
2022032220,23478.0,12199.588536335725,4087.890139883999,7190.521323780279
2022032221,2124.0,1103.6683725690891,369.82190378710334,650.5097236438075
2022032222,11320.0,5882.074377345615,1970.990560673263,3466.935061981121
2022032223,132088.0,68635.28625042648,22998.60434436483,40454.109405208685
2022032224,155115.0,80600.52712384851,27007.968270214948,47506.50460593653
2022032301,120711.0,62723.593654042976,21017.689184578645,36969.71716137837
2022032302,16406.0,8524.850904128283,2856.5433867849433,5024.605709086774
2022032303,361764.0,187979.0419651996,62988.818833162724,110796.13920163766
2022032304,498.0,258.7697031729785,86.70965540771067,152.5206414193108
2022032305,28634.0,14878.738314568409,4985.631070169453,8769.630615262142
2022032306,498.0,258.7697031729785,86.70965540771067,152.5206414193108
2022032307,21629.0,11238.815080177417,3765.9500739224377,6624.234845900147
2022032308,65567.0,34069.785397475265,11416.248948026838,20080.965654497897
2022032309,165708.0,86104.8393039918,28852.376663254865,50750.78403275332
2022032310,23259.0,12085.792221084954,4049.758785397475,7123.448993517571
2022032311,18692.0,9712.69737291027,3254.5720459456384,5724.730581144092
2022032312,60504.0,31438.96008188332,10534.700784715116,18530.339133401565
2022032313,50601.0,26293.18423746162,8810.432275673831,15497.38348686455
2022032314,150948.0,78435.27942681678,26282.427840327528,46230.29273285568
2022032315,0.0,0.0,0.0,0.0
2022032316,0.0,0.0,0.0,0.0
2022032317,0.0,0.0,0.0,0.0
2022032318,0.0,0.0,0.0,0.0
2022032319,0.0,0.0,0.0,0.0
2022032320,0.0,0.0,0.0,0.0
2022032321,0.0,0.0,0.0,0.0
2022032322,0.0,0.0,0.0,0.0
2022032323,0.0,0.0,0.0,0.0
2022032324,0.0,0.0,0.0,0.0
2022032401,81703.0,42454.33947458206,14225.781075855792,25022.879449562148
2022032402,30247.0,15716.881951552374,5266.479813488002,9263.638234959626
2022032403,80333.0,41742.46298191743,13987.242465597634,24603.29455248492
2022032404,38992.0,20260.940293415213,6789.12225634027,11941.937450244512
2022032405,40141.0,20857.981235073355,6989.181280564085,12293.837484362559
2022032406,29214.0,15180.116683725691,5086.618219037871,8947.265097236437
2022032407,254943.0,132472.9406345957,44389.5977482088,78080.4616171955
2022032408,57247.0,29746.5646537018,9967.60570908677,17532.82963721142
2022032409,67490.0,35069.01057659503,11751.07358125782,20669.91584214716
2022032410,55283.0,28726.035141589902,9625.642329125441,16931.322529284655
2022032411,97437.0,50630.00716479016,16965.3186625725,29841.67417263732
2022032412,18625.0,9677.882975093824,3242.906289093597,5704.210735812578
2022032413,153009.0,79506.21187308087,26641.28045035824,46861.5076765609
