aprtfEtryptDt,total,MB,MK,MS
2022032509,7406,3848.2900034118047,1289.5014215853519,2268.208575002843
2022032514,1509,784.1033776867963,262.740702831798,462.15591948140565
2022032506,6200,3221.6308427157965,1079.5177982486068,1898.8513590355965
2022032511,1297,673.9443875810304,225.8281587626521,397.2274536563175
2022032510,3994,2075.353804162402,695.418401000796,1223.2277948368019
2022032510,3994,2075.353804162402,695.418401000796,1223.2277948368019
2022032511,93,48.32446264073695,16.192766973729103,28.482770385533946
2022032515,271,140.81644489935175,47.18537472989878,82.99818037074945
2022032512,114044,59259.30126236779,19856.85931991357,34927.839417718635
2022032514,39746,20652.732173319688,6920.405549869214,12172.862276811098
2022032512,61724,32072.893892869328,10747.122028886613,18903.984078244055
2022032508,9944,5167.080177413852,1731.4072557716365,3045.5125668145115
2022032507,27997,14547.741726373251,4874.719322188104,8574.538951438644
2022032511,498,258.7697031729785,86.70965540771067,152.5206414193108
2022032509,3972,2063.9222108495396,691.5878539747526,1216.4899351757078
2022032514,151451,78696.64721937905,26370.008074604797,46384.34470601615
2022032510,2823,1466.8812691914022,491.5288297509382,864.5899010576594
2022032507,10421,5414.937905151825,1814.4604799272147,3191.6016149209595
2022032513,153148,79578.43875810303,26665.482542931877,46904.07869896508
2022032516,36416,18922.40464005459,6340.600022745365,11152.995337200045
2022032514,20738,10775.835551006483,3610.8129193676787,6351.351529625838
2022032505,113042,58738.64414875469,19682.39531445468,34620.960536790626
2022032509,94,48.84408051859434,16.36688274764017,28.789036733765492
2022032508,25483,13241.422381439781,4436.992266575685,7804.585351984532
2022032506,75015,38979.135107471855,13061.294779938587,22974.570112589558
2022032505,26374,13704.401910610713,4592.129421130445,8077.468668258842
2022032510,141635,73596.07813033095,24660.88763789378,43378.03423177527
2022032510,759,394.3899692937564,132.1538723984988,232.45615830774477
2022032507,7634,3966.762879563289,1329.199818037075,2338.037302399636
2022032510,6277,3261.6414193108153,1092.924712839759,1922.4338678494255
2022032511,627,325.8004094165814,109.17059024223813,192.02900034118048
2022032508,3560,1849.839645172296,619.8521551233936,1090.3081997043103
2022032513,2461,1278.7795974070284,428.49891959513246,753.7214829978392
2022032507,417,216.6806550665302,72.60627772091436,127.71306721255543
2022032508,60325,31345.948481746844,10503.534061185033,18475.517457068123
2022032509,8216,4269.180484476288,1430.5351984533152,2516.284317070397
