dataTime,UUU,VVV,VEC,WSD,PTY,REH,RN1,T1H,nx,ny
2022042015,1.6,2.2,216,2.7,0,30,0.0,22.1,101,78
2022042113,1.3,-0.8,305,1.6,0,93,0.5,14.0,101,78
2022042114,1.5,0.1,266,1.5,1,95,0.5,13.9,101,78
2022042115,0.5,-0.5,320,0.8,0,95,1.0,13.9,101,78
2022042116,0.2,0.1,243,0.2,0,96,1.0,14.4,101,78
2022042117,1,-0.4,297,1.1,0,96,0,13.8,101,78
