dataTime,UUU,VVV,VEC,WSD,PTY,REH,RN1,T1H,nx,ny
2022071221,-1.9,0.1,93,2,0,75,0,23.3,94,79
2022071222,-0.4,0.8,147,1,0,75,0,23.2,94,79
2022071223,0.2,-0.1,317,0.3,0,81,0,22.7,94,79
2022071224,0,1.1,175,1.1,0,85,0,22.4,94,79
2022071301,0.7,0,269,0.7,0,87,0,21.1,94,79
2022071302,0,0,161,0,0,87,0,21,94,79
2022071303,0.2,-0.1,311,0.3,0,87,0,21,94,79
2022071304,0,0,36,0,0,90,0,20.9,94,79
2022071305,0.3,0.4,220,0.5,0,88,0,21.3,94,79
2022071306,0,0,70,0.1,0,86,0,21.8,94,79
2022071307,0,-0.1,33,0.2,0,83,0,22.7,94,79
2022071308,0,-0.1,22,0.2,0,75,0,24.1,94,79
2022071309,-0.2,0,97,0.3,0,70,0,25.9,94,79
2022071310,-2,0.7,108,2.2,0,70,0,25.6,94,79
2022071311,-1.7,0.4,103,1.8,0,70,0,26,94,79
2022071312,-1.5,0.7,115,1.8,0,67,0,26.6,94,79
2022071313,-1.6,0.3,100,1.7,0,70,0,26.3,94,79
2022071314,-0.4,-0.8,30,1,0,72,0,25.6,94,79
2022071315,-0.2,0.5,145,0.6,0,74,0,25.2,94,79
2022071316,0.4,0.6,215,0.7,0,76,0,25,94,79
2022071317,-0.3,0.6,146,0.7,0,75,0,24.7,94,79
