dataTime,UUU,VVV,VEC,WSD,PTY,REH,RN1,T1H,nx,ny
2022071221,-2.2,-1.3,58,2.7,0,73,0,24.9,96,75
2022071222,-1.3,-1.3,45,2,0,71,0,24.9,96,75
2022071223,-0.5,-1.2,26,1.4,0,77,0,23.9,96,75
2022071224,0.8,0.1,264,0.8,0,81,0,23.2,96,75
2022071301,0.2,-0.1,310,0.3,0,81,0,22.9,96,75
2022071302,0.5,-0.7,327,1,0,85,0,22.3,96,75
2022071303,-0.7,-0.6,49,1.1,0,83,0,22.8,96,75
2022071304,-1.2,-1.5,39,2.1,0,84,0,22.7,96,75
2022071305,1,-1,317,1.5,0,85,0,22.8,96,75
2022071306,1.3,-1.2,315,1.8,0,85,0,22.9,96,75
2022071307,0.9,-1.2,325,1.6,0,81,0,23.8,96,75
2022071308,1,-1.3,325,1.7,0,78,0,24.7,96,75
2022071309,-0.7,1.2,147,1.4,0,73,0,26.4,96,75
2022071310,-2,1.6,127,2.7,0,71,0,26.4,96,75
2022071311,-1.1,2.2,151,2.5,0,72,0,26.4,96,75
2022071312,-1.2,2.4,152,2.7,0,69,0,27.2,96,75
2022071313,-2.1,1.3,121,2.6,0,70,0,27.3,96,75
2022071314,0.2,2.2,185,2.2,0,75,0,26.3,96,75
2022071315,-0.6,2.9,167,3,0,76,0,26.1,96,75
2022071316,0.4,3.2,187,3.2,0,75,0,26.1,96,75
2022071317,-0.6,1.9,160,2,0,75,0,26.1,96,75
