dataTime,UUU,VVV,VEC,WSD,PTY,REH,RN1,T1H,nx,ny
2022071221,-5.4,-0.1,88,5.5,0,75,0,23.1,96,74
2022071222,-2,-1.8,48,2.8,0,71,0,23.2,96,74
2022071223,-2.3,0.3,96,2.4,0,71,0,22.9,96,74
2022071224,-3,1,107,3.3,0,74,0,22.5,96,74
2022071301,-1.8,-0.3,78,1.9,0,76,0,22.2,96,74
2022071302,-1.2,-0.6,62,1.5,0,78,0,22,96,74
2022071303,-0.8,0.5,118,1,0,81,0,22,96,74
2022071304,-1,-0.1,82,1.1,0,79,0,22.2,96,74
2022071305,-2.2,0,89,2.3,0,78,0,22.5,96,74
2022071306,-1.7,-0.5,71,1.9,0,79,0,22.7,96,74
2022071307,-1.6,0.1,94,1.7,0,78,0,23.2,96,74
2022071308,-1.6,0.5,108,1.8,0,79,0,23.4,96,74
2022071309,-1.9,1.1,118,2.3,0,76,0,23.9,96,74
2022071310,-2.3,2,131,3.1,0,76,0,24,96,74
2022071311,-2.3,1.7,125,3,0,77,0,24,96,74
2022071312,-2.7,2.4,130,3.7,0,78,0,24,96,74
2022071313,-3.7,3.1,130,4.9,0,79,0,23.8,96,74
2022071314,-2.3,2.4,136,3.4,0,82,0,23.5,96,74
2022071315,-1.5,1.1,125,1.9,0,80,0,23.6,96,74
2022071316,-2.7,2.6,133,3.8,0,79,0,23.8,96,74
2022071317,-2.6,2,127,3.4,0,80,0,23.6,96,74
