dataTime,UUU,VVV,VEC,WSD,PTY,REH,RN1,T1H,nx,ny
2022071408,1.4,1.4,225,2.0,0,84,0,26.1,93,75
2022071409,0.9,1.2,217,1.5,0,82,0,26.5,93,75
2022071410,0.8,0.1,263,0.8,0,83,0,26.9,93,75
2022071411,1.2,0.2,261,1.2,0,77,0,29.1,93,75
2022071412,1.8,0.3,261,1.8,0,71,0,30.3,93,75
2022071413,2.5,0.8,252,2.6,0,68,0,30.7,93,75
2022072510,-1.8,2.2,138,2.9,0,82,0,25.3,93,75
