DC10_LMCS_CA,TD,VS,M0_3_TE,RN_QCFLG,HM,TM,TS,STN_ID,M0_05_TE,ICSR_QCFLG,CLFM_ABBR_CD,M0_2_TE,TA,WS,RNUM,STN_NM,LCS_CH,SS_QCFLG,PV,DC10_TCA,WD,PS,M0_1_TE,PA,RN,DMST_MTPH_NO,SS,ICSR
8,24.5,3905,24.1,9,100,2022-06-27 00:00,25.9,159,24.4,9,ScAs,23.6,24.6,5.9,1,부산,1.0,9,30.7,10,200,1013.4,24.2,1005.5,,,,
5,23.9,1303,24.0,,100,2022-06-27 01:00,25.7,159,24.4,9,,23.6,24.0,4.5,2,부산,,9,29.7,5,200,1012.1,24.2,1004.2,,,,
8,23.9,1482,24.0,,100,2022-06-27 02:00,25.6,159,24.3,9,,23.7,24.0,6.2,3,부산,,9,29.7,8,230,1012.3,24.1,1004.4,,,,
9,24.0,1478,23.9,,100,2022-06-27 03:00,25.6,159,24.3,9,ScAs,23.6,24.1,5.9,4,부산,2.0,9,29.8,10,230,1011.8,24.1,1003.9,0.0,01,,
9,23.8,344,23.9,,100,2022-06-27 04:00,25.6,159,24.3,9,ScAs,23.6,23.9,7.5,5,부산,2.0,9,29.5,10,230,1011.8,24.1,1003.9,0.0,1901,,
9,23.7,345,23.9,,100,2022-06-27 05:00,25.6,159,24.3,9,StNs,23.5,23.8,8.2,6,부산,2.0,9,29.3,10,230,1011.7,24.1,1003.8,1.9,1901,,
9,23.3,207,23.9,,100,2022-06-27 06:00,25.3,159,24.1,,StNs,23.5,23.4,6.8,7,부산,1.0,,28.6,10,230,1011.7,24.0,1003.8,2.6,1901,0.0,0.0
9,23.6,391,23.9,,100,2022-06-27 07:00,25.5,159,24.1,,StNs,23.5,23.7,7.6,8,부산,1.0,,29.1,10,230,1012.1,24.0,1004.2,1.2,1901,0.0,0.05
10,23.7,2234,23.8,,100,2022-06-27 08:00,26.0,159,24.2,,St,23.5,23.8,10.1,9,부산,5.0,,29.3,10,230,1012.1,24.0,1004.2,0.4,19160201,0.0,0.13
10,23.8,674,23.8,,100,2022-06-27 09:00,27.0,159,24.8,,St,23.5,23.9,9.0,10,부산,5.0,,29.5,10,230,1012.3,24.0,1004.4,0.1,190201,0.0,0.56
9,23.8,456,23.8,,100,2022-06-27 10:00,26.6,159,24.9,,StNs,23.5,23.9,9.5,11,부산,2.0,,29.5,10,230,1012.3,24.2,1004.4,0.1,1901,0.0,0.59
9,23.3,905,23.8,,100,2022-06-27 11:00,25.8,159,24.5,,StNs,23.5,23.3,7.8,12,부산,1.0,,28.6,10,230,1012.0,24.2,1004.1,3.9,1901,0.0,0.28
10,23.4,684,23.8,,100,2022-06-27 12:00,25.9,159,24.5,,St,23.5,23.4,8.1,13,부산,3.0,,28.8,10,230,1012.0,24.2,1004.1,0.5,1901,0.0,0.26
9,23.2,483,23.8,,100,2022-06-27 13:00,26.2,159,24.4,,StNs,23.5,23.2,7.6,14,부산,1.0,,28.4,10,230,1011.3,24.1,1003.4,0.2,1901,0.0,0.26
9,23.1,125,23.8,,100,2022-06-27 14:00,25.9,159,24.4,,StNs,23.5,23.2,5.6,15,부산,1.0,,28.3,10,200,1011.2,24.1,1003.3,0.4,191601,0.0,0.32
10,23.2,50,23.8,,100,2022-06-27 15:00,25.7,159,24.3,,St,23.5,23.3,7.2,16,부산,5.0,,28.4,10,230,1010.9,24.1,1003.0,1.0,19160201,0.0,0.16
10,23.3,217,23.8,,100,2022-06-27 16:00,25.9,159,24.3,,St,23.5,23.4,6.3,17,부산,1.0,,28.6,10,230,1010.8,24.1,1002.9,0.0,191602,0.0,0.2
10,23.3,60,23.8,9,100,2022-06-27 17:00,25.9,159,24.3,,,23.5,23.4,8.4,18,부산,6.0,,28.6,10,230,1010.7,24.1,1002.8,,1916,0.0,0.16
10,23.4,243,23.8,9,100,2022-06-27 18:00,25.8,159,24.3,,St,23.5,23.5,6.0,19,부산,2.0,,28.8,10,230,1010.3,24.0,1002.4,,1916,0.0,0.15
9,23.3,543,23.8,9,100,2022-06-27 19:00,25.5,159,24.2,,,23.5,23.3,6.2,20,부산,,,28.6,9,230,1010.7,24.0,1002.8,,19,0.0,0.05
8,22.9,716,23.8,9,100,2022-06-27 20:00,25.2,159,24.0,,,23.4,22.9,5.5,21,부산,,,27.9,8,200,1010.6,24.0,1002.6,,19,0.0,0.02
9,23.5,1472,23.8,9,100,2022-06-27 21:00,25.2,159,23.9,9,Sc,23.4,23.5,8.7,22,부산,1.0,9,28.9,9,200,1010.5,23.9,1002.6,,19,,
8,23.4,1572,23.8,9,100,2022-06-27 22:00,25.1,159,23.9,9,,23.4,23.4,6.1,23,부산,1.0,9,28.8,8,200,1010.5,23.8,1002.6,,,,
7,23.0,1341,23.8,9,100,2022-06-27 23:00,25.0,159,23.8,9,,23.4,23.1,7.0,24,부산,1.0,9,28.1,7,200,1010.4,23.8,1002.5,,,,
